,Q18_categorized,Q20_categorized,gambled_before,p_gender_sdc,p_age_group_sdc,Q22,Q1,Q9a,Q9b,Q9c,Q9d,Q9e,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q16h,Q16i,Q17a,Q17b,Q17c,Q17d
10,Q18_2,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_3,Q22_1,Q1_2,Q9a_1,Q9b_2,Q9c_2,Q9d_1,Q9e_3,Q16a_4,Q16b_1,Q16c_1,Q16d_4,Q16e_1,Q16f_4,Q16g_4,Q16h_1,Q16i_4,Q17a_4,Q17b_1,Q17c_4,Q17d_4
11,Q18_2,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_3,Q22_1,Q1_2,Q9a_3,Q9b_3,Q9c_2,Q9d_2,Q9e_2,Q16a_2,Q16b_1,Q16c_2,Q16d_D,Q16e_3,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_2,Q17d_2
12,Q18_0,Q20_0,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_3,Q22_2,Q1_4,Q9a_3,Q9b_4,Q9c_3,Q9d_4,Q9e_4,Q16a_2,Q16b_2,Q16c_2,Q16d_3,Q16e_2,Q16f_3,Q16g_2,Q16h_3,Q16i_3,Q17a_3,Q17b_2,Q17c_2,Q17d_2
13,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_2,Q9e_3,Q16a_4,Q16b_1,Q16c_1,Q16d_4,Q16e_1,Q16f_3,Q16g_3,Q16h_2,Q16i_1,Q17a_4,Q17b_1,Q17c_3,Q17d_3
14,Q18_1,Q20_1,gambled_12m_1,p_gender_sdc_1,p_age_group_sdc_2,Q22_3,Q1_2,Q9a_3,Q9b_2,Q9c_3,Q9d_2,Q9e_2,Q16a_2,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_3,Q16g_3,Q16h_2,Q16i_2,Q17a_3,Q17b_3,Q17c_2,Q17d_4
15,Q18_0,Q20_2,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_4,Q22_3,Q1_2,Q9a_3,Q9b_1,Q9c_2,Q9d_3,Q9e_3,Q16a_1,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_4,Q16g_4,Q16h_3,Q16i_1,Q17a_4,Q17b_1,Q17c_4,Q17d_D
16,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_3,Q22_1,Q1_5,Q9a_3,Q9b_4,Q9c_3,Q9d_2,Q9e_3,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_2,Q16g_2,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_2,Q17d_2
17,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_3,Q22_3,Q1_4,Q9a_4,Q9b_3,Q9c_4,Q9d_3,Q9e_3,Q16a_2,Q16b_1,Q16c_3,Q16d_3,Q16e_4,Q16f_2,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_3
18,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_1,Q9a_3,Q9b_2,Q9c_3,Q9d_2,Q9e_2,Q16a_4,Q16b_1,Q16c_1,Q16d_4,Q16e_1,Q16f_3,Q16g_3,Q16h_2,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_3
19,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_3,Q9b_1,Q9c_1,Q9d_2,Q9e_3,Q16a_2,Q16b_1,Q16c_2,Q16d_3,Q16e_2,Q16f_4,Q16g_4,Q16h_3,Q16i_1,Q17a_4,Q17b_1,Q17c_2,Q17d_1
20,Q18_2,Q20_2,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_4,Q22_3,Q1_4,Q9a_2,Q9b_4,Q9c_3,Q9d_3,Q9e_3,Q16a_3,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_4,Q16g_4,Q16h_4,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_3
21,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_4,Q9a_4,Q9b_3,Q9c_3,Q9d_3,Q9e_3,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_2,Q17d_2
22,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_4,Q9a_3,Q9b_3,Q9c_3,Q9d_2,Q9e_3,Q16a_1,Q16b_1,Q16c_2,Q16d_3,Q16e_3,Q16f_2,Q16g_2,Q16h_2,Q16i_2,Q17a_3,Q17b_1,Q17c_3,Q17d_3
23,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_2,Q22_3,Q1_2,Q9a_2,Q9b_3,Q9c_2,Q9d_2,Q9e_3,Q16a_3,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_4,Q16g_4,Q16h_2,Q16i_2,Q17a_4,Q17b_1,Q17c_3,Q17d_3
24,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_4,Q22_3,Q1_2,Q9a_2,Q9b_3,Q9c_2,Q9d_3,Q9e_3,Q16a_3,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_4,Q16h_3,Q16i_2,Q17a_4,Q17b_1,Q17c_4,Q17d_4
25,Q18_2,Q20_2,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_4,Q22_1,Q1_1,Q9a_3,Q9b_2,Q9c_1,Q9d_D,Q9e_3,Q16a_2,Q16b_2,Q16c_1,Q16d_1,Q16e_2,Q16f_3,Q16g_3,Q16h_4,Q16i_3,Q17a_3,Q17b_1,Q17c_2,Q17d_4
26,Q18_1,Q20_2,gambled_12m_1,p_gender_sdc_1,p_age_group_sdc_4,Q22_3,Q1_4,Q9a_3,Q9b_2,Q9c_3,Q9d_3,Q9e_2,Q16a_2,Q16b_1,Q16c_1,Q16d_4,Q16e_1,Q16f_4,Q16g_4,Q16h_2,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_2
27,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_2,Q22_3,Q1_2,Q9a_2,Q9b_2,Q9c_3,Q9d_2,Q9e_2,Q16a_2,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_4,Q16g_3,Q16h_3,Q16i_3,Q17a_3,Q17b_1,Q17c_2,Q17d_2
28,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_3,Q9b_3,Q9c_1,Q9d_3,Q9e_3,Q16a_3,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_4,Q16g_3,Q16h_3,Q16i_1,Q17a_4,Q17b_1,Q17c_2,Q17d_3
29,Q18_2,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_2,Q22_3,Q1_4,Q9a_3,Q9b_3,Q9c_2,Q9d_2,Q9e_3,Q16a_3,Q16b_2,Q16c_2,Q16d_3,Q16e_1,Q16f_4,Q16g_3,Q16h_3,Q16i_2,Q17a_2,Q17b_2,Q17c_2,Q17d_3
30,Q18_0,Q20_0,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_2,Q9e_2,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_1,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_2,Q17b_2,Q17c_2,Q17d_2
31,Q18_1,Q20_1,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_4,Q22_3,Q1_2,Q9a_2,Q9b_2,Q9c_2,Q9d_2,Q9e_2,Q16a_3,Q16b_2,Q16c_2,Q16d_3,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_3
32,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_3,Q1_4,Q9a_3,Q9b_2,Q9c_2,Q9d_2,Q9e_3,Q16a_2,Q16b_1,Q16c_1,Q16d_4,Q16e_2,Q16f_4,Q16g_4,Q16h_3,Q16i_1,Q17a_3,Q17b_1,Q17c_3,Q17d_4
33,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_1,Q9a_3,Q9b_3,Q9c_2,Q9d_2,Q9e_2,Q16a_3,Q16b_1,Q16c_1,Q16d_2,Q16e_1,Q16f_3,Q16g_2,Q16h_3,Q16i_1,Q17a_3,Q17b_2,Q17c_D,Q17d_2
34,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_4,Q22_3,Q1_2,Q9a_4,Q9b_2,Q9c_3,Q9d_3,Q9e_3,Q16a_2,Q16b_1,Q16c_1,Q16d_4,Q16e_2,Q16f_2,Q16g_4,Q16h_4,Q16i_1,Q17a_4,Q17b_1,Q17c_4,Q17d_2
35,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_3,Q22_3,Q1_5,Q9a_1,Q9b_2,Q9c_2,Q9d_2,Q9e_2,Q16a_3,Q16b_1,Q16c_1,Q16d_4,Q16e_1,Q16f_4,Q16g_2,Q16h_3,Q16i_2,Q17a_2,Q17b_1,Q17c_3,Q17d_2
36,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_3,Q22_3,Q1_4,Q9a_3,Q9b_3,Q9c_2,Q9d_3,Q9e_3,Q16a_4,Q16b_1,Q16c_1,Q16d_3,Q16e_2,Q16f_4,Q16g_4,Q16h_2,Q16i_2,Q17a_4,Q17b_1,Q17c_3,Q17d_4
37,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_2,Q9b_3,Q9c_3,Q9d_3,Q9e_4,Q16a_3,Q16b_1,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_2,Q16i_1,Q17a_3,Q17b_2,Q17c_3,Q17d_2
38,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_3,Q1_5,Q9a_2,Q9b_4,Q9c_3,Q9d_3,Q9e_4,Q16a_2,Q16b_1,Q16c_1,Q16d_4,Q16e_2,Q16f_4,Q16g_4,Q16h_3,Q16i_1,Q17a_4,Q17b_1,Q17c_4,Q17d_4
39,Q18_0,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_2,Q9b_2,Q9c_2,Q9d_3,Q9e_3,Q16a_2,Q16b_1,Q16c_2,Q16d_4,Q16e_2,Q16f_3,Q16g_4,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_2,Q17d_2
40,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_3,Q22_1,Q1_1,Q9a_3,Q9b_2,Q9c_3,Q9d_3,Q9e_3,Q16a_2,Q16b_1,Q16c_2,Q16d_3,Q16e_2,Q16f_4,Q16g_4,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_4
41,Q18_1,Q20_1,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_4,Q22_3,Q1_1,Q9a_3,Q9b_3,Q9c_3,Q9d_2,Q9e_3,Q16a_3,Q16b_1,Q16c_2,Q16d_3,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_1,Q17a_3,Q17b_1,Q17c_3,Q17d_3
42,Q18_0,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_2,Q9e_3,Q16a_2,Q16b_1,Q16c_1,Q16d_4,Q16e_1,Q16f_4,Q16g_4,Q16h_3,Q16i_2,Q17a_4,Q17b_1,Q17c_3,Q17d_2
43,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_3,Q9b_2,Q9c_2,Q9d_2,Q9e_3,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_3,Q17a_3,Q17b_2,Q17c_2,Q17d_2
44,Q18_0,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_3,Q9b_3,Q9c_2,Q9d_3,Q9e_3,Q16a_2,Q16b_1,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_3,Q17a_3,Q17b_3,Q17c_2,Q17d_2
45,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_4,Q22_3,Q1_4,Q9a_3,Q9b_3,Q9c_3,Q9d_4,Q9e_4,Q16a_2,Q16b_1,Q16c_3,Q16d_3,Q16e_2,Q16f_2,Q16g_3,Q16h_3,Q16i_1,Q17a_4,Q17b_2,Q17c_3,Q17d_3
46,Q18_1,Q20_1,gambled_12m_1,p_gender_sdc_1,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_4,Q9b_3,Q9c_4,Q9d_3,Q9e_4,Q16a_3,Q16b_2,Q16c_2,Q16d_3,Q16e_3,Q16f_3,Q16g_3,Q16h_2,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_3
47,Q18_0,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_3,Q22_3,Q1_4,Q9a_3,Q9b_3,Q9c_2,Q9d_3,Q9e_3,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_4,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_3
48,Q18_1,Q20_1,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_2,Q22_1,Q1_4,Q9a_4,Q9b_4,Q9c_2,Q9d_4,Q9e_3,Q16a_2,Q16b_1,Q16c_2,Q16d_3,Q16e_2,Q16f_2,Q16g_4,Q16h_3,Q16i_2,Q17a_1,Q17b_2,Q17c_1,Q17d_2
49,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_3,Q22_3,Q1_1,Q9a_3,Q9b_2,Q9c_2,Q9d_1,Q9e_2,Q16a_1,Q16b_2,Q16c_4,Q16d_2,Q16e_3,Q16f_2,Q16g_2,Q16h_4,Q16i_4,Q17a_1,Q17b_4,Q17c_1,Q17d_1
50,Q18_1,Q20_2,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_3,Q22_3,Q1_2,Q9a_3,Q9b_2,Q9c_2,Q9d_2,Q9e_3,Q16a_4,Q16b_1,Q16c_1,Q16d_4,Q16e_1,Q16f_4,Q16g_4,Q16h_1,Q16i_2,Q17a_4,Q17b_1,Q17c_3,Q17d_4
51,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_3,Q22_3,Q1_4,Q9a_4,Q9b_2,Q9c_3,Q9d_3,Q9e_3,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_3,Q16f_2,Q16g_3,Q16h_3,Q16i_3,Q17a_3,Q17b_3,Q17c_2,Q17d_2
52,Q18_1,Q20_2,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_3,Q22_3,Q1_2,Q9a_3,Q9b_4,Q9c_3,Q9d_4,Q9e_4,Q16a_3,Q16b_1,Q16c_2,Q16d_4,Q16e_1,Q16f_4,Q16g_4,Q16h_1,Q16i_1,Q17a_4,Q17b_1,Q17c_3,Q17d_4
53,Q18_1,Q20_1,gambled_12m_1,p_gender_sdc_1,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_4,Q9b_3,Q9c_2,Q9d_2,Q9e_2,Q16a_3,Q16b_1,Q16c_2,Q16d_3,Q16e_2,Q16f_4,Q16g_4,Q16h_3,Q16i_2,Q17a_4,Q17b_1,Q17c_3,Q17d_3
54,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_3,Q1_2,Q9a_3,Q9b_3,Q9c_2,Q9d_2,Q9e_2,Q16a_4,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_4,Q16g_3,Q16h_1,Q16i_1,Q17a_4,Q17b_1,Q17c_4,Q17d_4
55,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_2,Q22_1,Q1_4,Q9a_3,Q9b_3,Q9c_2,Q9d_3,Q9e_3,Q16a_2,Q16b_2,Q16c_3,Q16d_3,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_2,Q17b_2,Q17c_3,Q17d_2
56,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_3,Q22_1,Q1_2,Q9a_3,Q9b_3,Q9c_2,Q9d_3,Q9e_2,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_4,Q16i_3,Q17a_2,Q17b_3,Q17c_2,Q17d_3
57,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_2,Q9b_2,Q9c_2,Q9d_1,Q9e_3,Q16a_2,Q16b_1,Q16c_2,Q16d_3,Q16e_3,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_3
58,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_4,Q22_1,Q1_4,Q9a_2,Q9b_3,Q9c_3,Q9d_3,Q9e_3,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_2,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_2
59,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_3,Q22_1,Q1_4,Q9a_3,Q9b_2,Q9c_2,Q9d_2,Q9e_2,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_2,Q16f_2,Q16g_2,Q16h_3,Q16i_2,Q17a_3,Q17b_3,Q17c_2,Q17d_3
60,Q18_0,Q20_1,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_5,Q9a_3,Q9b_3,Q9c_3,Q9d_3,Q9e_3,Q16a_3,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_3,Q16g_3,Q16h_1,Q16i_1,Q17a_3,Q17b_1,Q17c_3,Q17d_3
61,Q18_0,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_2,Q9e_3,Q16a_2,Q16b_2,Q16c_1,Q16d_2,Q16e_1,Q16f_3,Q16g_1,Q16h_3,Q16i_1,Q17a_4,Q17b_2,Q17c_3,Q17d_3
62,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_3,Q22_3,Q1_2,Q9a_3,Q9b_2,Q9c_2,Q9d_2,Q9e_2,Q16a_4,Q16b_1,Q16c_2,Q16d_3,Q16e_1,Q16f_2,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_1,Q17c_3,Q17d_3
63,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_3,Q22_1,Q1_2,Q9a_3,Q9b_2,Q9c_2,Q9d_3,Q9e_3,Q16a_2,Q16b_2,Q16c_3,Q16d_3,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_3,Q17c_3,Q17d_2
64,Q18_D,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_4,Q9a_3,Q9b_3,Q9c_4,Q9d_3,Q9e_3,Q16a_1,Q16b_1,Q16c_4,Q16d_3,Q16e_1,Q16f_1,Q16g_4,Q16h_3,Q16i_1,Q17a_3,Q17b_1,Q17c_4,Q17d_4
65,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_4,Q22_3,Q1_1,Q9a_3,Q9b_3,Q9c_2,Q9d_3,Q9e_3,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_2,Q16f_3,Q16g_2,Q16h_4,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_4
66,Q18_1,Q20_0,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_4,Q9a_3,Q9b_3,Q9c_2,Q9d_2,Q9e_3,Q16a_3,Q16b_2,Q16c_2,Q16d_3,Q16e_2,Q16f_4,Q16g_4,Q16h_2,Q16i_2,Q17a_3,Q17b_1,Q17c_4,Q17d_3
67,Q18_0,Q20_0,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_4,Q9a_3,Q9b_3,Q9c_4,Q9d_4,Q9e_3,Q16a_4,Q16b_1,Q16c_1,Q16d_4,Q16e_1,Q16f_4,Q16g_3,Q16h_1,Q16i_1,Q17a_4,Q17b_1,Q17c_4,Q17d_4
68,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_2,Q22_3,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_3,Q9e_3,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_3,Q16f_2,Q16g_2,Q16h_3,Q16i_1,Q17a_2,Q17b_3,Q17c_2,Q17d_2
69,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_2,Q22_3,Q1_2,Q9a_2,Q9b_2,Q9c_3,Q9d_3,Q9e_2,Q16a_2,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_3,Q16g_3,Q16h_3,Q16i_1,Q17a_3,Q17b_2,Q17c_3,Q17d_3
70,Q18_1,Q20_1,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_4,Q22_3,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_3,Q9e_3,Q16a_4,Q16b_2,Q16c_3,Q16d_3,Q16e_2,Q16f_4,Q16g_3,Q16h_D,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_R
71,Q18_2,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_2,Q22_1,Q1_2,Q9a_3,Q9b_4,Q9c_2,Q9d_3,Q9e_3,Q16a_3,Q16b_2,Q16c_2,Q16d_3,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_3
72,Q18_2,Q20_2,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_3,Q22_3,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_3,Q9e_2,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_3,Q17a_2,Q17b_3,Q17c_2,Q17d_2
73,Q18_0,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_2,Q22_2,Q1_1,Q9a_3,Q9b_1,Q9c_3,Q9d_2,Q9e_3,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_2,Q16f_3,Q16g_4,Q16h_3,Q16i_1,Q17a_3,Q17b_2,Q17c_2,Q17d_2
